rating, material1, material2, time_in_seconds
3, G2StoneTileVersion3, G4ProfiledWoodPlate, 81.24681
1, G2Brick, G4CherryTree, 10.424113
1, G2StoneTileVersion1, G1ProfiledAluminumPlate, 9.767209
2, G9GreenVelvet, G2Brick, 10.814173
1, G3Brass, G1ProfiledAluminumPlate, 14.249258
1, G2StoneTileVersion1, G9RedFleeze, 4.016543
1, G4CompressedWoodVersion1, G4Teak, 3.195603
1, G4CompressedWoodVersion1, G9GreenVelvet, 5.507287
4, G8GlitterPaperVersion2, G4CherryTree, 9.744092
1, G4Larch, G3AluminumPlate, 5.965757
1, G9TextileVersion3, G3AluminumPlate, 2.618787
1, G4CompressedWoodVersion1, G2CrushedRock, 3.317306
5, G8PlayingCardPaper, G3AluminumPlate, 2.856539
1, G9RedVelvet, G3AluminumPlate, 8.943978
5, G2Marble, G2Brick, 12.19268
2, G4Teak, G1ProfiledAluminumPlate, 3.14961
2, G2StoneTileVersion3, G9RedFleeze, 8.710075
8, G9TableClothVersion2, G6Carpet, 10.062344
5, G4Bamboo, G8GlitterPaperVersion1, 11.525204
8, G8GlitterPaperVersion2, G9TextileVersion3, 9.623517
1, G2StoneTileVersion3, G1ProfiledAluminumPlate, 6.56239
1, G8PlayingCardPaper, G4LaminatedWood, 5.352969
1, G9RedFleeze, G9RedVelvet, 7.598953
5, G2StoneTileVersion2, G3Brass, 7.418226
1, G8Paper, G2StoneTileVersion1, 7.892259
1, G8GlitterPaperVersion2, G2Marble, 6.599661
4, G3Copper, G9Jeans, 10.094362
1, G6Towel, G4LaminatedWood, 8.677864
1, G4Bamboo, G2CrushedRock, 6.583886
1, G9TableClothVersion2, G3AluminumPlate, 6.008624
3, G9TableClothVersion2, G2Brick, 10.741843
1, G9TableClothVersion2, G8PlayingCardPaper, 7.687151
1, G8GlitterPaperVersion1, G9RedVelvet, 12.022061
1, G1ProfiledAluminumPlate, G9RedFleeze, 2.05871
1, G9TableClothVersion2, G2StoneTileVersion1, 2.445326
1, G9TextileVersion4, G4ProfiledWoodPlate, 5.976995
1, G2Marble, G9GreenVelvet, 7.86462
1, G4Teak, G9RedVelvet, 7.489221
1, G9TableClothVersion2, G3Brass, 2.247005
1, G2StoneTileVersion2, G6Carpet, 1.823749
1, G4Bamboo, G9RedFleeze, 1.766326
5, G2CrushedRock, G2StoneTileVersion1, 4.460485
2, G4LaminatedWood, G8GlitterPaperVersion1, 9.036365
2, G6Towel, G4ProfiledWoodPlate, 7.220535
4, G3Copper, G4ProfiledWoodPlate, 3.54214
2, G9TextileVersion4, G4Teak, 8.328394
9, G9TextileVersion3, G9Jeans, 9.878913
8, G8GlitterPaperVersion2, G9TableClothVersion2, 2.645793
1, G8GlitterPaperVersion2, G2CrushedRock, 5.869642
1, G3Copper, G6Carpet, 3.921574
1, G3StainlessSteel, G8Paper, 8.008311
1, G8PlayingCardPaper, G4CherryTree, 5.371467
2, G2Brick, G9TextileVersion4, 8.555198
7, G9TextileVersion3, G9RedFleeze, 6.562282
1, G3Brass, G9RedFleeze, 4.382823
4, G4Bamboo, G4ProfiledWoodPlate, 8.969129
3, G8Paper, G2CrushedRock, 9.375662
6, G4WoodenPaper, G4ProfiledWoodPlate, 3.626534
1, G3Brass, G9Jeans, 3.43643
3, G2StoneTileVersion3, G8RoughPaper, 10.32464
6, G9TableClothVersion2, G9TextileVersion4, 9.771669
5, G2StoneTileVersion2, G9TextileVersion4, 9.713344
1, G9TextileVersion3, G4Larch, 6.611625
1, G9TextileVersion4, G4Larch, 2.768404
2, G4CherryTree, G3AluminumPlate, 2.393551
3, G2StoneTileVersion2, G4ProfiledWoodPlate, 3.58429
9, G9GreenVelvet, G8RoughPaper, 8.885507
3, G9GreenVelvet, G4ProfiledWoodPlate, 8.528243
9, G8Paper, G8RoughPaper, 10.667078
1, G9TextileVersion3, G2Brick, 5.038814
8, G9GreenVelvet, G9TextileVersion4, 8.85489
1, G4LaminatedWood, G9RedFleeze, 5.905076
1, G9TableClothVersion2, G4CompressedWoodVersion1, 6.050935
5, G4Bamboo, G4CherryTree, 8.432895
9, G3StainlessSteel, G3Brass, 7.743291
1, G3StainlessSteel, G4ProfiledWoodPlate, 4.847705
4, G4Bamboo, G9Jeans, 10.232688
1, G2StoneTileVersion2, G3AluminumPlate, 3.042119
2, G9TextileVersion3, G1ProfiledAluminumPlate, 1.974642
1, G2CrushedRock, G8GlitterPaperVersion1, 3.281001
4, G2Brick, G4WoodenPaper, 2.798346
1, G3Copper, G3AluminumPlate, 2.805025
1, G3Copper, G8PlayingCardPaper, 2.063127
3, G3StainlessSteel, G9TextileVersion3, 3.284983
1, G2Brick, G8PlayingCardPaper, 5.247363
1, G6Towel, G2StoneTileVersion1, 6.614095
1, G3StainlessSteel, G6Towel, 2.481758
1, G2CrushedRock, G9RedFleeze, 3.088581
1, G4CompressedWoodVersion1, G4Larch, 2.266243
7, G2StoneTileVersion3, G4LaminatedWood, 9.046838
1, G2CrushedRock, G9TextileVersion4, 7.564523
1, G4Bamboo, G4Larch, 2.500899
1, G4Bamboo, G1ProfiledAluminumPlate, 2.377326
9, G9Jeans, G6Carpet, 9.895558
4, G2Marble, G4WoodenPaper, 9.601259
8, G4Teak, G4ProfiledWoodPlate, 11.417334
6, G9GreenVelvet, G9Jeans, 9.194715
2, G2StoneTileVersion3, G4Bamboo, 10.747594
1, G9TextileVersion3, G2StoneTileVersion1, 10.137915
5, G4LaminatedWood, G3AluminumPlate, 9.702434
1, G2Marble, G1ProfiledAluminumPlate, 3.11843
1, G3StainlessSteel, G2CrushedRock, 2.401448
4, G2Brick, G4Larch, 4.355939
2, G6Towel, G8PlayingCardPaper, 2.267113
1, G9GreenVelvet, G4Larch, 6.809119
3, G6Carpet, G3AluminumPlate, 7.968691
6, G8PlayingCardPaper, G8GlitterPaperVersion1, 10.335041
1, G4WoodenPaper, G2StoneTileVersion1, 3.350172
1, G3Brass, G2Brick, 6.136978
1, G4CompressedWoodVersion1, G2Marble, 2.243429
1, G4CherryTree, G6Carpet, 2.044197
8, G4ProfiledWoodPlate, G4CherryTree, 5.229466
6, G2StoneTileVersion3, G4CherryTree, 10.756712
1, G8PlayingCardPaper, G4Larch, 3.888164
7, G3Brass, G2StoneTileVersion1, 7.425835
5, G4Bamboo, G4WoodenPaper, 7.244829
1, G9TableClothVersion2, G2CrushedRock, 3.403768
6, G6Towel, G9TableClothVersion2, 12.523867
3, G2Marble, G4CherryTree, 631.918056
7, G8Paper, G8PlayingCardPaper, 8.636689
1, G2Brick, G8GlitterPaperVersion1, 1.986966
1, G3Copper, G8Paper, 4.398796
1, G4ProfiledWoodPlate, G8RoughPaper, 7.669468
1, G9TextileVersion3, G4CherryTree, 2.908869
1, G8Paper, G3AluminumPlate, 6.390952
1, G3StainlessSteel, G9TableClothVersion2, 6.759751
1, G2StoneTileVersion3, G9RedVelvet, 6.613406
1, G8GlitterPaperVersion1, G1ProfiledAluminumPlate, 2.289086
1, G4Teak, G4Larch, 1.544284
1, G8GlitterPaperVersion2, G3Copper, 1.268633
1, G4CompressedWoodVersion1, G9RedFleeze, 2.070262
1, G6Towel, G2Brick, 1.676016
3, G9GreenVelvet, G8GlitterPaperVersion1, 8.210551
1, G8GlitterPaperVersion2, G4LaminatedWood, 4.542655
1, G6Towel, G4Teak, 3.96956
1, G4CompressedWoodVersion1, G4WoodenPaper, 4.007361
4, G9TableClothVersion2, G9TextileVersion3, 4.320183
6, G2CrushedRock, G8RoughPaper, 10.862823
4, G9TableClothVersion2, G9RedVelvet, 6.697123
4, G2Marble, G4Bamboo, 6.370871
5, G4Bamboo, G2Brick, 6.14414
1, G2CrushedRock, G1ProfiledAluminumPlate, 2.946904
7, G6Towel, G9RedVelvet, 3.648578
3, G9TableClothVersion2, G9RedFleeze, 3.322245
2, G2StoneTileVersion3, G2CrushedRock, 2.503567
1, G2CrushedRock, G8PlayingCardPaper, 2.126637
1, G9TableClothVersion2, G4Larch, 2.48408
1, G2Marble, G8RoughPaper, 5.687332
1, G3StainlessSteel, G4LaminatedWood, 9.407264
1, G3Brass, G2Marble, 7.75525
4, G3Brass, G3AluminumPlate, 3.317674
3, G2Brick, G9RedVelvet, 1.424882
5, G9GreenVelvet, G8PlayingCardPaper, 1.11757
6, G4Larch, G9RedFleeze, 1.900443
5, G3Copper, G4Larch, 1.465926
1, G3StainlessSteel, G2Brick, 1.785003
3, G4CherryTree, G9RedFleeze, 1.546884
2, G9RedFleeze, G3AluminumPlate, 1.547006
5, G3Brass, G9TextileVersion3, 1.521235
5, G3StainlessSteel, G3Copper, 2.99952
1, G2StoneTileVersion2, G2StoneTileVersion1, 2.047813
1, G8GlitterPaperVersion2, G3Brass, 2.811923
4, G8GlitterPaperVersion2, G9RedVelvet, 2.649788
4, G2StoneTileVersion2, G9TableClothVersion2, 2.807081
1, G3Brass, G4ProfiledWoodPlate, 3.233047
8, G8GlitterPaperVersion2, G8RoughPaper, 7.79797
5, G4Larch, G4CherryTree, 2.75678
4, G4Teak, G2StoneTileVersion1, 4.759899
2, G2StoneTileVersion2, G2CrushedRock, 2.7137
2, G3StainlessSteel, G2StoneTileVersion2, 2.685496
1, G2StoneTileVersion2, G3Copper, 1.831474
9, G9GreenVelvet, G6Carpet, 7.365536
1, G9GreenVelvet, G4Teak, 6.984956
2, G2StoneTileVersion2, G8GlitterPaperVersion1, 2.47217
4, G3Copper, G4WoodenPaper, 2.354191
1, G3StainlessSteel, G4CompressedWoodVersion1, 1.89838
2, G3Copper, G4Bamboo, 1.879272
1, G2Marble, G8PlayingCardPaper, 1.72504
4, G8GlitterPaperVersion2, G9GreenVelvet, 15.366966
1, G9TextileVersion3, G4ProfiledWoodPlate, 23.705472
1, G3Brass, G4Teak, 2.023349
2, G3Brass, G4Bamboo, 1.349804
2, G4WoodenPaper, G4LaminatedWood, 1.514781
4, G4Bamboo, G8PlayingCardPaper, 1.549414
1, G4Teak, G9RedFleeze, 1.513309
1, G3Brass, G4WoodenPaper, 1.779612
1, G6Towel, G3Brass, 1.680162
1, G2StoneTileVersion2, G9TextileVersion3, 2.713936
1, G8GlitterPaperVersion2, G9TextileVersion4, 2.059032
1, G1ProfiledAluminumPlate, G9RedVelvet, 1.6695
1, G2StoneTileVersion3, G3AluminumPlate, 1.431608
2, G6Towel, G4WoodenPaper, 1.895686
1, G1ProfiledAluminumPlate, G6Carpet, 1.924803
4, G4LaminatedWood, G4ProfiledWoodPlate, 9.289101
1, G1ProfiledAluminumPlate, G3AluminumPlate, 2.9327
1, G2StoneTileVersion2, G4WoodenPaper, 2.360094
1, G3Brass, G2StoneTileVersion3, 1.298403
1, G6Towel, G9TextileVersion3, 1.195879
1, G3Brass, G6Carpet, 1.249752
1, G2StoneTileVersion2, G6Towel, 1.479754
1, G4CompressedWoodVersion1, G1ProfiledAluminumPlate, 1.229195
5, G9GreenVelvet, G9RedVelvet, 7.310406
1, G9Jeans, G4Teak, 2.428047
6, G8RoughPaper, G9RedVelvet, 10.144079
1, G4ProfiledWoodPlate, G3AluminumPlate, 2.776973
9, G8RoughPaper, G6Carpet, 8.988296
8, G9TextileVersion4, G8RoughPaper, 6.944947
1, G4LaminatedWood, G1ProfiledAluminumPlate, 6.253631
5, G2StoneTileVersion3, G4Teak, 7.945468
1, G2StoneTileVersion2, G4Larch, 297.183566
