rating, material1, material2, time_in_seconds
4, G4Bamboo, G8GlitterPaperVersion1, 186.849792
9, G2Brick, G8PlayingCardPaper, 15.228039
5, G4CompressedWoodVersion1, G2StoneTileVersion1, 11.926664
3, G9TextileVersion3, G9TextileVersion4, 24.754462
1, G9TableClothVersion2, G1ProfiledAluminumPlate, 41.911229
1, G4Larch, G1ProfiledAluminumPlate, 17.592301
9, G3StainlessSteel, G3Copper, 13.105449
3, G9Jeans, G4CherryTree, 12.499387
4, G4WoodenPaper, G8RoughPaper, 13.81053
2, G4WoodenPaper, G4LaminatedWood, 7.342349
8, G6Towel, G8RoughPaper, 10.812416
5, G3StainlessSteel, G6Towel, 15.587628
7, G8GlitterPaperVersion2, G3AluminumPlate, 8.412672
4, G4Bamboo, G9Jeans, 8.083881
6, G9TextileVersion3, G9Jeans, 7.060309
7, G6Towel, G9TextileVersion4, 11.682713
2, G6Towel, G3AluminumPlate, 7.340067
2, G2StoneTileVersion2, G4LaminatedWood, 6.663981
2, G2StoneTileVersion2, G8RoughPaper, 9.509156
2, G4Bamboo, G9TextileVersion3, 14.984022
2, G3StainlessSteel, G9Jeans, 9.087644
1, G2StoneTileVersion1, G6Carpet, 6.348452
1, G4CompressedWoodVersion1, G6Carpet, 7.057191
2, G6Towel, G4Bamboo, 15.589723
7, G8Paper, G9Jeans, 21.64881
4, G2StoneTileVersion3, G9RedVelvet, 9.601015
2, G8Paper, G4WoodenPaper, 9.950472
4, G2StoneTileVersion3, G6Carpet, 14.474794
7, G4Teak, G3AluminumPlate, 69.739188
8, G8PlayingCardPaper, G9Jeans, 10.573265
9, G3StainlessSteel, G4WoodenPaper, 11.173344
6, G8GlitterPaperVersion2, G2Marble, 14.303689
4, G3Copper, G2StoneTileVersion1, 65.211056
2, G9TextileVersion3, G2CrushedRock, 6.742494
8, G8GlitterPaperVersion2, G9RedFleeze, 9.537403
3, G9GreenVelvet, G4CherryTree, 8.577181
8, G3Copper, G8GlitterPaperVersion1, 51.502984
7, G8GlitterPaperVersion2, G4WoodenPaper, 6.710472
6, G8GlitterPaperVersion2, G8Paper, 9.637644
1, G9TextileVersion4, G2StoneTileVersion1, 11.76196
6, G2StoneTileVersion2, G4CompressedWoodVersion1, 7.800816
6, G4CherryTree, G3AluminumPlate, 5.92455
1, G2CrushedRock, G1ProfiledAluminumPlate, 8.090732
3, G2StoneTileVersion1, G9RedFleeze, 13.816798
3, G2Marble, G4Larch, 6.595766
4, G9TextileVersion3, G4CherryTree, 6.43462
1, G2Marble, G1ProfiledAluminumPlate, 12.602665
7, G8PlayingCardPaper, G6Carpet, 9.269156
6, G2Brick, G2StoneTileVersion1, 8.959875
2, G4Teak, G8RoughPaper, 8.644294
1, G3Brass, G9GreenVelvet, 16.802196
8, G4LaminatedWood, G6Carpet, 7.55836
1, G6Towel, G4CompressedWoodVersion1, 15.398193
8, G9TableClothVersion2, G6Carpet, 9.278794
6, G3StainlessSteel, G4LaminatedWood, 7.715315
5, G8GlitterPaperVersion2, G3Brass, 9.093852
4, G3StainlessSteel, G9RedFleeze, 7.512854
5, G2Brick, G3AluminumPlate, 7.450218
2, G4CherryTree, G9RedVelvet, 6.398929
6, G3Copper, G2StoneTileVersion3, 13.448747
1, G6Towel, G4LaminatedWood, 6.395619
2, G4CompressedWoodVersion1, G2Brick, 21.064916
9, G9GreenVelvet, G9TextileVersion4, 13.204388
5, G4CompressedWoodVersion1, G2CrushedRock, 6.294302
1, G4CompressedWoodVersion1, G8PlayingCardPaper, 4.352726
8, G2StoneTileVersion1, G4CherryTree, 8.593861
2, G2CrushedRock, G4CherryTree, 9.474631
2, G8PlayingCardPaper, G4WoodenPaper, 9.937284
2, G9TextileVersion3, G8PlayingCardPaper, 9.827817
1, G4WoodenPaper, G9Jeans, 7.624816
3, G2Marble, G2Brick, 8.42663
9, G9TableClothVersion2, G8RoughPaper, 14.561582
3, G4Bamboo, G9RedFleeze, 11.735651
5, G9TableClothVersion2, G9RedVelvet, 13.118513
9, G9Jeans, G9RedFleeze, 58.106833
1, G2StoneTileVersion2, G9GreenVelvet, 6.622394
1, G9GreenVelvet, G2StoneTileVersion1, 6.674951
1, G2StoneTileVersion3, G8PlayingCardPaper, 7.963437
6, G2StoneTileVersion2, G6Carpet, 6.24445
8, G4CompressedWoodVersion1, G4CherryTree, 6.889217
2, G2StoneTileVersion3, G9Jeans, 8.305742
4, G4CherryTree, G6Carpet, 7.150782
1, G9Jeans, G2StoneTileVersion1, 4.641326
9, G3Brass, G9TextileVersion4, 8.562729
3, G3Brass, G4ProfiledWoodPlate, 8.475385
7, G3Copper, G4ProfiledWoodPlate, 20.734847
1, G9TextileVersion3, G4Teak, 8.661138
1, G8GlitterPaperVersion2, G2Brick, 10.344188
6, G2Marble, G4LaminatedWood, 7.856405
5, G8Paper, G2Brick, 12.729412
2, G2StoneTileVersion1, G8RoughPaper, 9.54738
9, G4LaminatedWood, G3AluminumPlate, 16.400184
1, G9GreenVelvet, G4Bamboo, 8.697545
8, G2Brick, G8RoughPaper, 9.871617
1, G4Bamboo, G8PlayingCardPaper, 6.215848
8, G8GlitterPaperVersion2, G9TextileVersion3, 11.333666
2, G9GreenVelvet, G6Carpet, 10.565041
7, G3Brass, G2Marble, 14.921003
7, G2StoneTileVersion3, G8GlitterPaperVersion1, 13.05657
6, G4ProfiledWoodPlate, G2StoneTileVersion1, 9.505215
6, G2StoneTileVersion2, G4Larch, 8.516169
6, G4CompressedWoodVersion1, G2Marble, 6.846891
3, G4ProfiledWoodPlate, G9RedFleeze, 6.566815
4, G2Brick, G9TextileVersion4, 11.553381
9, G4LaminatedWood, G4Larch, 8.251514
7, G9Jeans, G8RoughPaper, 8.310552
1, G6Towel, G4CherryTree, 8.050821
6, G3Brass, G9RedFleeze, 7.62088
1, G2StoneTileVersion2, G1ProfiledAluminumPlate, 5.949782
9, G9TableClothVersion2, G4Teak, 11.006799
2, G2Brick, G6Carpet, 24.670745
8, G3Brass, G4WoodenPaper, 6.299476
6, G4Bamboo, G2CrushedRock, 8.544688
1, G1ProfiledAluminumPlate, G9RedFleeze, 5.845319
2, G4Larch, G3AluminumPlate, 6.714462
9, G3StainlessSteel, G4Teak, 6.731658
7, G9TextileVersion3, G4ProfiledWoodPlate, 7.93354
7, G3StainlessSteel, G2Brick, 18.320862
2, G3Brass, G2Brick, 6.321196
8, G4Larch, G4ProfiledWoodPlate, 8.301109
9, G4Larch, G8RoughPaper, 7.991963
2, G1ProfiledAluminumPlate, G9RedVelvet, 8.784187
8, G8PlayingCardPaper, G9TextileVersion4, 7.032941
1, G2Marble, G9RedVelvet, 13.802231
2, G2Brick, G9RedVelvet, 9.750813
6, G4CompressedWoodVersion1, G8Paper, 9.276872
2, G9TextileVersion3, G4LaminatedWood, 5.688039
1, G4CherryTree, G9RedFleeze, 6.472742
7, G2CrushedRock, G9RedVelvet, 10.609272
8, G6Carpet, G9RedVelvet, 20.894532
6, G2StoneTileVersion3, G2Brick, 12.13335
5, G9TextileVersion3, G4Larch, 7.540349
2, G6Towel, G8GlitterPaperVersion2, 12.547927
8, G3Copper, G3AluminumPlate, 8.383782
2, G3StainlessSteel, G8Paper, 10.375036
7, G9TextileVersion4, G8GlitterPaperVersion1, 11.233736
8, G3StainlessSteel, G2StoneTileVersion2, 7.255872
6, G2StoneTileVersion2, G8GlitterPaperVersion1, 10.94745
1, G9GreenVelvet, G4ProfiledWoodPlate, 5.632499
2, G4ProfiledWoodPlate, G6Carpet, 4.53672
7, G3Brass, G4Bamboo, 21.680157
6, G9TableClothVersion2, G4CherryTree, 9.658273
1, G3StainlessSteel, G9GreenVelvet, 12.703475
2, G2Marble, G4Teak, 7.270071
2, G6Towel, G8Paper, 10.76047
1, G2CrushedRock, G3AluminumPlate, 6.94264
3, G9Jeans, G4ProfiledWoodPlate, 11.328879
8, G2StoneTileVersion2, G2Marble, 11.955799
2, G9TextileVersion3, G2StoneTileVersion1, 5.678815
7, G8GlitterPaperVersion2, G3Copper, 11.843008
7, G4ProfiledWoodPlate, G3AluminumPlate, 9.996965
4, G8Paper, G4CherryTree, 11.861542
7, G3StainlessSteel, G4CherryTree, 9.131927
9, G4ProfiledWoodPlate, G4CherryTree, 9.683747
2, G2Brick, G1ProfiledAluminumPlate, 7.259136
3, G3Copper, G2CrushedRock, 16.895792
2, G9TableClothVersion2, G4LaminatedWood, 10.04915
2, G6Towel, G2StoneTileVersion3, 14.872031
2, G6Towel, G8PlayingCardPaper, 5.671552
1, G2StoneTileVersion2, G9TextileVersion4, 5.435058
2, G8GlitterPaperVersion2, G8PlayingCardPaper, 5.471494
3, G8Paper, G2CrushedRock, 10.577403
8, G8Paper, G4Bamboo, 21.649783
2, G3Brass, G9Jeans, 8.589692
4, G9TextileVersion4, G4CherryTree, 6.229898
7, G8PlayingCardPaper, G8RoughPaper, 106.820266
7, G3Copper, G4Teak, 8.047717
1, G9TableClothVersion2, G9GreenVelvet, 6.107512
3, G6Towel, G9TextileVersion3, 9.614513
