rating, material1, material2, time_in_seconds
2, G8GlitterPaperVersion2, G2CrushedRock, 8.165349
3, G2StoneTileVersion3, G8Paper, 8.410622
6, G9TableClothVersion2, G9RedFleeze, 9.970328
6, G2StoneTileVersion1, G3AluminumPlate, 10.188877
6, G3Brass, G8PlayingCardPaper, 6.980196
8, G3StainlessSteel, G4Bamboo, 8.602509
2, G9RedFleeze, G3AluminumPlate, 9.420125
7, G9TextileVersion3, G9RedVelvet, 22.444985
1, G3StainlessSteel, G8PlayingCardPaper, 4.440645
1, G4Larch, G9RedVelvet, 4.077201
2, G4WoodenPaper, G1ProfiledAluminumPlate, 4.343538
3, G2CrushedRock, G4LaminatedWood, 5.349977
2, G2Brick, G4WoodenPaper, 76846.161603
8, G3Brass, G3AluminumPlate, 14.411728
9, G9Jeans, G9RedVelvet, 12.765986
3, G2StoneTileVersion2, G4CherryTree, 10.888375
2, G3Brass, G4LaminatedWood, 6.231519
2, G8GlitterPaperVersion2, G2StoneTileVersion1, 7.462297
7, G4Bamboo, G4ProfiledWoodPlate, 11.641092
2, G2StoneTileVersion2, G8GlitterPaperVersion2, 10.639674
3, G3Brass, G8RoughPaper, 10.508208
2, G3StainlessSteel, G1ProfiledAluminumPlate, 8.567936
7, G3Copper, G4WoodenPaper, 10.293715
3, G9TableClothVersion2, G3Brass, 9.051062
1, G1ProfiledAluminumPlate, G3AluminumPlate, 12.074918
2, G3StainlessSteel, G4Larch, 10.246411
2, G9TableClothVersion2, G2Marble, 7.838356
3, G4WoodenPaper, G8GlitterPaperVersion1, 16.976657
1, G2CrushedRock, G9TextileVersion4, 5.921712
2, G4Bamboo, G1ProfiledAluminumPlate, 8.782475
5, G3Brass, G8Paper, 10.235583
1, G2StoneTileVersion2, G8PlayingCardPaper, 7.755321
6, G6Towel, G6Carpet, 13.344608
6, G9GreenVelvet, G8RoughPaper, 21.59163
2, G9RedVelvet, G3AluminumPlate, 12.428814
2, G8PlayingCardPaper, G4Teak, 21.158947
9, G8RoughPaper, G9RedVelvet, 86.481811
1, G1ProfiledAluminumPlate, G8RoughPaper, 5.362166
3, G2Marble, G9TextileVersion3, 16.944027
2, G9GreenVelvet, G4Larch, 9.164866
8, G2Marble, G4ProfiledWoodPlate, 8.16603
3, G3Copper, G8PlayingCardPaper, 9.725986
2, G3Copper, G8RoughPaper, 15.503525
8, G4CompressedWoodVersion1, G4Teak, 13.320465
1, G2Brick, G4Teak, 8.046302
3, G4WoodenPaper, G2StoneTileVersion1, 6.136521
8, G6Towel, G9RedFleeze, 12.444858
5, G3StainlessSteel, G4CompressedWoodVersion1, 28.551205
2, G8PlayingCardPaper, G1ProfiledAluminumPlate, 8.939957
2, G4Teak, G1ProfiledAluminumPlate, 12.810915
5, G3Copper, G9TextileVersion4, 23.138964
8, G6Towel, G9RedVelvet, 20.459892
2, G9GreenVelvet, G4Teak, 8.488367
2, G3StainlessSteel, G9RedVelvet, 28.747973
7, G6Towel, G9TableClothVersion2, 8.72907
1, G4CompressedWoodVersion1, G8RoughPaper, 17.265013
9, G9Jeans, G6Carpet, 11.331841
8, G9TextileVersion4, G8RoughPaper, 8.976459
5, G3Brass, G9TextileVersion3, 9.436183
2, G9TableClothVersion2, G2Brick, 9.453203
1, G4Bamboo, G8RoughPaper, 8.308902
7, G2Marble, G4Bamboo, 82.704162
2, G3Brass, G1ProfiledAluminumPlate, 7.650541
6, G4WoodenPaper, G3AluminumPlate, 10.032106
1, G2StoneTileVersion2, G9Jeans, 69.205987
7, G8Paper, G9GreenVelvet, 15.917287
3, G2CrushedRock, G4WoodenPaper, 11.457802
2, G2StoneTileVersion2, G8Paper, 16.123263
6, G8PlayingCardPaper, G9RedVelvet, 10.497316
4, G4Bamboo, G9TextileVersion4, 33.836918
3, G2CrushedRock, G9RedFleeze, 8.024986
5, G2Marble, G4CherryTree, 10.632674
9, G8Paper, G6Carpet, 9.399751
3, G2Brick, G4Larch, 7.828698
6, G8Paper, G9TextileVersion3, 7.281156
3, G3Brass, G8GlitterPaperVersion1, 7.470361
6, G9TextileVersion3, G8GlitterPaperVersion1, 6.706945
7, G8GlitterPaperVersion1, G9RedFleeze, 8.558829
8, G9TextileVersion4, G6Carpet, 9.802819
2, G8PlayingCardPaper, G4CherryTree, 8.015203
9, G8Paper, G9RedFleeze, 15.614697
4, G2Brick, G4ProfiledWoodPlate, 21.308949
2, G2Marble, G8GlitterPaperVersion1, 5.147018
8, G9Jeans, G9TextileVersion4, 7.12527
2, G2Marble, G2CrushedRock, 3.984758
9, G3Brass, G3Copper, 11.041784
7, G9GreenVelvet, G9Jeans, 8.133231
1, G4CompressedWoodVersion1, G9RedVelvet, 4.761471
2, G2CrushedRock, G6Carpet, 4.711343
3, G3Copper, G4CompressedWoodVersion1, 4.185559
2, G2Brick, G4CherryTree, 5.337033
3, G2StoneTileVersion2, G9RedVelvet, 5.097952
5, G2StoneTileVersion3, G4Larch, 13.607501
1, G8GlitterPaperVersion1, G1ProfiledAluminumPlate, 4.819375
9, G3Copper, G8Paper, 7.805689
8, G3Copper, G4Bamboo, 9.541851
7, G2Marble, G4WoodenPaper, 7.37583
6, G9GreenVelvet, G2CrushedRock, 7.865246
6, G8Paper, G4ProfiledWoodPlate, 18.246696
6, G8PlayingCardPaper, G9RedFleeze, 10.718161
1, G2Marble, G9Jeans, 4.424814
2, G9TableClothVersion2, G4Larch, 7.281669
4, G9TableClothVersion2, G2CrushedRock, 62.33392
3, G2CrushedRock, G9Jeans, 4.605763
3, G8GlitterPaperVersion2, G4CompressedWoodVersion1, 5.142454
3, G8GlitterPaperVersion2, G4Bamboo, 3.939722
4, G4Bamboo, G9RedVelvet, 4.32929
1, G9TextileVersion3, G1ProfiledAluminumPlate, 4.408374
8, G4Bamboo, G4Teak, 9.690538
6, G8GlitterPaperVersion2, G9Jeans, 4.291278
5, G3Copper, G2Brick, 5.043663
4, G9TableClothVersion2, G8Paper, 5.564458
5, G8GlitterPaperVersion2, G4LaminatedWood, 5.683621
1, G3StainlessSteel, G2CrushedRock, 3.717892
9, G6Towel, G9Jeans, 10.781398
2, G3StainlessSteel, G8RoughPaper, 5.108447
3, G3Brass, G2CrushedRock, 11.128014
1, G2Marble, G9GreenVelvet, 5.669337
1, G3StainlessSteel, G6Carpet, 7.902043
6, G4LaminatedWood, G2StoneTileVersion1, 37.011369
5, G8GlitterPaperVersion2, G9TextileVersion4, 8.699545
7, G4Bamboo, G2Brick, 11.427967
1, G9TextileVersion4, G1ProfiledAluminumPlate, 10.646343
3, G6Towel, G2Brick, 9.39778
6, G2CrushedRock, G2Brick, 14.098079
8, G9GreenVelvet, G9RedVelvet, 10.067909
2, G9TextileVersion4, G4LaminatedWood, 5.004917
6, G2StoneTileVersion3, G4Bamboo, 4.868118
6, G3Brass, G2StoneTileVersion3, 5.065987
8, G4Bamboo, G3AluminumPlate, 10.343772
9, G8GlitterPaperVersion2, G8RoughPaper, 8.689453
1, G8PlayingCardPaper, G2StoneTileVersion1, 4.124466
7, G3Copper, G4Larch, 8.385456
8, G3StainlessSteel, G3Brass, 83.14277
5, G2StoneTileVersion3, G1ProfiledAluminumPlate, 4.744356
2, G2CrushedRock, G2StoneTileVersion1, 3.919515
5, G3Copper, G2Marble, 4.943005
6, G9RedFleeze, G9RedVelvet, 5.134288
7, G8GlitterPaperVersion1, G6Carpet, 5.057268
6, G4CompressedWoodVersion1, G8GlitterPaperVersion1, 8.445191
5, G2StoneTileVersion3, G4CompressedWoodVersion1, 4.974432
1, G3Copper, G9RedFleeze, 4.37176
7, G2CrushedRock, G4ProfiledWoodPlate, 6.139944
7, G2StoneTileVersion1, G8GlitterPaperVersion1, 4.291294
7, G3Copper, G6Carpet, 5.176591
6, G2StoneTileVersion2, G4ProfiledWoodPlate, 4.718664
7, G9GreenVelvet, G8PlayingCardPaper, 5.046728
7, G2CrushedRock, G4Larch, 5.248177
4, G9TableClothVersion2, G3AluminumPlate, 6.326776
7, G3StainlessSteel, G2StoneTileVersion3, 8.769736
2, G4LaminatedWood, G9RedFleeze, 3.626375
2, G8PlayingCardPaper, G3AluminumPlate, 4.738244
1, G9TextileVersion4, G3AluminumPlate, 6.056754
2, G8GlitterPaperVersion2, G1ProfiledAluminumPlate, 3.901273
6, G9TableClothVersion2, G2StoneTileVersion3, 7.974135
6, G2StoneTileVersion2, G4WoodenPaper, 4.545994
4, G9TableClothVersion2, G4Bamboo, 5.086837
8, G9TextileVersion4, G9RedVelvet, 10.462555
6, G2Brick, G9RedFleeze, 6.052298
1, G8Paper, G4Larch, 4.613921
9, G8Paper, G8RoughPaper, 5.789474
5, G3StainlessSteel, G8GlitterPaperVersion2, 5.393746
4, G8GlitterPaperVersion2, G9GreenVelvet, 5.445895
2, G9TextileVersion3, G2Brick, 5.22976
1, G2Marble, G8RoughPaper, 7.457338
6, G3Brass, G6Carpet, 9.087094
7, G8RoughPaper, G4CherryTree, 9.350988
1, G6Towel, G1ProfiledAluminumPlate, 3.437121
3, G4Larch, G8GlitterPaperVersion1, 4.216095
7, G2StoneTileVersion3, G4CherryTree, 8.981872
2, G3Brass, G9RedVelvet, 5.199014
3, G9GreenVelvet, G2Brick, 8.467708
2, G9Jeans, G4Teak, 5.610702
7, G2Marble, G3AluminumPlate, 6.018194
7, G2CrushedRock, G8PlayingCardPaper, 5.712261
7, G2StoneTileVersion2, G4Teak, 5.339347
7, G2StoneTileVersion3, G4ProfiledWoodPlate, 6.138085
8, G3StainlessSteel, G8GlitterPaperVersion1, 13.909628
7, G2StoneTileVersion3, G4WoodenPaper, 32.352572
8, G6Towel, G9GreenVelvet, 8.205681
2, G6Towel, G4Teak, 10.374457
1, G2StoneTileVersion2, G3Copper, 41.088416
2, G9TableClothVersion2, G4CompressedWoodVersion1, 5.89116
2, G3Copper, G9TextileVersion3, 3.576012
1, G4ProfiledWoodPlate, G8RoughPaper, 3.519024
4, G2Brick, G8GlitterPaperVersion1, 3.767527
7, G2StoneTileVersion3, G9TextileVersion3, 7.624901
1, G9GreenVelvet, G4WoodenPaper, 5.053857
9, G2StoneTileVersion2, G4Bamboo, 14.170859
6, G3Copper, G9Jeans, 12.298716
6, G3Brass, G4CherryTree, 12.919378
8, G8Paper, G9RedVelvet, 15.936383
1, G4CompressedWoodVersion1, G9RedFleeze, 5.198599
2, G6Towel, G4ProfiledWoodPlate, 4.485215
2, G3Copper, G1ProfiledAluminumPlate, 5.005026
